Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,61.840000,62.439999,61.560001,62.430000,56.143456,9931200
2018-12-01,62.230000,63.470001,62.230000,63.470001,57.191353,11900600
2019-01-01,63.500000,63.930000,63.099998,63.750000,57.668579,19894100
2019-02-01,63.540001,63.720001,63.310001,63.470001,57.415283,8016800
2019-03-01,63.279999,64.709999,63.189999,64.480003,58.442627,14490500
2019-04-01,64.199997,64.279999,63.810001,64.269997,58.361706,8475900
2019-05-01,64.150002,65.500000,63.919998,65.480003,59.578770,6198300
2019-06-01,65.419998,66.080002,65.320000,65.970001,60.140621,8096600
2019-07-01,65.839996,66.019997,65.419998,65.779999,60.087616,7855900
2019-08-01,65.730003,67.410004,65.709999,67.290001,61.584599,9063200
2019-09-01,67.209999,67.430000,65.900002,66.669998,61.132374,6489200
2019-10-01,66.400002,67.309998,66.160004,66.739998,61.307739,7373200
2019-11-01,66.559998,66.650002,65.720001,66.349998,61.057533,7944800
2019-12-01,66.040001,66.559998,65.690002,65.900002,60.753567,6113400
2020-01-01,66.040001,67.379997,66.000000,67.360001,62.321751,9540200
2020-02-01,67.080002,68.739998,66.699997,68.639999,63.506046,8935700
2020-03-01,68.690002,70.830002,68.260002,70.550003,65.385727,35223100
2020-04-01,70.519997,70.730003,69.870003,70.430000,65.377419,31137300
2020-05-01,70.419998,70.660004,70.180000,70.589996,65.625496,16966300
2020-06-01,70.449997,70.669998,69.730003,70.570000,65.693611,18604900
2020-07-01,70.430000,70.860001,70.349998,70.820000,66.015167,16923900
2020-08-01,70.709999,70.860001,70.239998,70.459999,65.759766,14435900
2020-09-01,70.379997,70.639999,70.309998,70.480003,65.857460,15966000
2020-10-01,70.339996,70.459999,69.940002,69.959999,65.447746,18222500
2020-11-01,69.980003,70.190002,69.589996,70.019997,65.574600,20353100
2020-12-01,69.820000,70.010002,69.250000,69.419998,65.082428,15281700
2021-01-01,69.330002,69.459999,68.699997,69.110001,65.377441,18622100
2021-02-01,69.040001,69.099998,67.620003,68.089996,64.412544,16147000
2021-03-01,68.000000,68.150002,67.199997,67.230003,63.661640,22746200
2021-04-01,67.269997,67.779999,67.089996,67.610001,64.077942,28194800
2021-05-01,67.529999,67.949997,67.440002,67.760002,64.283195,18336300
2021-06-01,67.690002,68.139999,67.489998,67.809998,64.389687,14188200
2021-07-01,67.720001,68.760002,67.629997,68.550003,65.153908,12585500
2021-08-01,68.550003,68.830002,68.010002,68.279999,64.955688,14191600
2021-09-01,68.250000,68.330002,67.339996,67.550003,64.324127,14428000
2021-10-01,67.580002,67.690002,66.730003,67.000000,63.861172,29814500
2021-11-01,66.820000,67.480003,66.459999,67.239998,64.147850,25491100
2021-12-01,67.019997,67.410004,66.360001,66.470001,63.471058,28062200
2022-01-01,66.250000,66.250000,65.199997,65.419998,62.927711,38588100
2022-02-01,65.379997,65.489998,64.190002,65.059998,62.581417,43867000
2022-03-01,65.300003,65.680000,62.389999,62.910000,60.571674,48643700
2022-04-01,62.369999,62.590000,61.020000,61.290001,59.065441,47174900
2022-05-01,61.049999,62.099998,60.730000,61.630001,59.457382,53206200
2022-06-01,61.560001,61.590000,59.250000,61.160000,59.066589,41122600
2022-07-01,61.490002,62.380001,60.730000,62.250000,60.190575,33320600
2022-08-01,62.259998,62.360001,60.320000,60.400002,58.477314,60896100
2022-09-01,60.119999,60.410000,57.700001,58.310001,56.533764,49592900
2022-10-01,58.599998,59.000000,57.080002,57.790001,56.114140,59668400
2022-11-01,57.980000,59.139999,57.189999,59.139999,57.520676,56841300
2022-12-01,59.099998,59.790001,58.369999,58.480000,56.983269,66489900
2023-01-01,58.860001,60.279999,58.639999,59.869999,58.564266,32698600
2023-02-01,59.820000,60.279999,58.020000,58.290001,57.018723,57371700
2023-03-01,58.000000,60.730000,57.650002,59.959999,58.772072,71848200
2023-04-01,59.740002,60.750000,59.450001,60.270000,59.192707,33270800
2023-05-01,59.950001,60.939999,58.779999,59.509998,58.568394,45990800
2023-06-01,59.529999,59.650002,58.529999,58.660000,57.848938,40346200
2023-07-01,58.480000,59.060001,57.650002,58.480000,57.796715,75204700
2023-08-01,58.169998,58.540001,57.450001,58.259998,57.705200,55298200
2023-09-01,58.180000,58.180000,56.820000,57.150002,56.729942,52996800
2023-10-01,56.790001,57.160000,56.070000,56.520000,56.234879,93544900
2023-11-01,56.450001,56.840000,56.430000,56.799999,56.650261,5161600
